30:Unknown Enemy
35:Unknown Enemy
40:Unknown Enemy
42:Unknown Enemy
49:Crouching Enemy
4B:Lava Guy
70:Glitched Boss
71:Glitched Boss
72:Glitched Boss
74:Glitched Boss
75:Glitched Boss
79:Glitched Boss
81:Flying Insect
82:Unknown Enemy
83:Unknown Enemy
84:Scuttling Eyeball
85:Diving Bat
86:Flying Eye
88:Unknown Enemy
8D:Small Mouser
8F:Unknown Enemy
91:Chainsaw Guy
92:Boomerang Guy
94:Robot
96:Flying RoboBug
97:Unknown Enemy
98:Foot Clan Guy
9A:Unknown Enemy
9B:Unknown Enemy
9C:Unknown Enemy
9D:Leaping Toad
9E:Unknown Enemy
A0:Unknown Enemy
A3:Unknown Enemy
A6:Unknown Enemy
A7:Unknown Enemy
A8:Unknown Enemy
AA:Unknown Enemy
AB:Unknown Enemy
AC:Unknown Enemy
